z_nm,pos_with_ramp_mV,pos_no_ramp_mV,neg_with_ramp_mV,neg_no_ramp_mV,membrane_mV,fmp_z_with_ramp
-18.340510000000002,25.68341714865872,-11.852490578914209,-77.4853093462827,-39.94940161870982,-25.900946098812014,1.0736340939683349
-18.144354999999997,24.29662276466294,-12.83783178738206,-76.97668382300712,-39.842229270962164,-26.34003052917211,1.063095265796888
-17.9482,22.73027609087177,-14.00272528564526,-76.6365092371438,-39.90350786062668,-26.95311657313597,1.0524947123872554
-17.752045,21.633288896798785,-14.698259304190307,-75.54503755737997,-39.21348935639098,-26.955874330290648,1.0403265421875214
-17.555889999999998,20.359806518432684,-15.570288507028511,-73.0622476457205,-37.13215262025934,-26.351220563643924,1.019441086633382
-17.359735,18.293617644939985,-17.23502420499324,-70.63428993157069,-35.1056480816375,-26.170336143315367,0.9944529357319606
-17.16358,16.015809642708252,-19.11137903169701,-70.13786147183578,-35.010672797430416,-27.06102591456371,0.9790277514403593
-16.967425,14.705179176541249,-20.02055632233606,-71.4030855146254,-36.67735001574809,-28.348953169042076,0.9787752846956477
-16.771269999999998,14.860013441615365,-19.46426888173396,-73.03714417941971,-38.71286185607034,-29.08856536890215,0.9887218063780839
-16.575115,15.806831332546167,-18.115997815275257,-74.28718247595694,-40.36435332813561,-29.240175571705432,1.0009366669418491
-16.37896,16.070104731425047,-17.451271240868426,-75.45681614436644,-41.93544017207292,-29.693355706470676,1.0089038521074551
-16.182805,14.722829374323185,-18.397093422442325,-77.03174906572508,-43.91182626895959,-31.154459845700956,1.0101696634152433
-15.986650000000001,12.233296359192483,-20.48517326204509,-78.63040570411209,-45.911936082874576,-33.19855467245983,1.005216252817156
-15.790494999999998,9.434473915555113,-22.88254253015446,-79.47224504521816,-47.155228599508504,-35.018885564831486,0.9943351237476126
-15.594339999999999,6.975212131782817,-24.940351138398842,-79.73126578281494,-47.81570251263323,-36.37802682551604,0.9821014428453221
-15.398185000000002,5.551206762739918,-25.962903331913797,-80.51456700998257,-49.000456915328755,-37.481680123621274,0.9785390286097986
-15.202029999999999,5.29363626620011,-25.819020652925683,-82.38133385519384,-51.26867693606814,-38.54384879449691,0.9874864094765445
-15.005875,5.974497008135149,-24.73670673546268,-84.40168766565724,-53.690483922059606,-39.21359532876114,1.002505580644225
-14.809719999999999,7.627215556208753,-22.682535011861123,-85.33517711070222,-55.02542654263235,-38.85398077724673,1.0168852975346816
-14.613565,9.7608761583813,-20.147421234160646,-85.45005093849383,-55.5417535459518,-37.84458739005622,1.0293874971285897
-14.41741,11.213984420117102,-18.2928597968969,-86.06982357480366,-56.562979357789544,-37.42791957734322,1.0409130358868182
-14.221255,11.398343170914691,-17.70704787057136,-87.6844470954623,-58.57905605397637,-38.143051962273866,1.0509156558707209
-14.0251,10.950879128508525,-17.753058737449603,-89.50035170783616,-60.79641384187813,-39.27473628966386,1.0585243973292242
-13.828945,10.85719921280231,-17.445285477627863,-90.33757596490584,-62.03509127447567,-39.74018837605176,1.0626586189976877
-13.63279,11.539678691152766,-16.361352823749456,-89.4792890312268,-61.57825751632463,-38.96980517003704,1.061681102324016
-13.436635,13.168097963764492,-14.331480375609818,-87.0988292579137,-59.59925091853936,-36.96536564707459,1.0574996406940849
-13.24048,15.673943568656298,-11.424181595190044,-83.82511500299022,-56.7269898391439,-34.07558571716697,1.0532301721030475
-13.044324999999997,18.176072427470714,-8.520599560847653,-80.20595373448322,-53.509281746164916,-31.014940653506283,1.0470192989437415
-12.84817,19.596723865357532,-6.698494947432875,-77.15098122120278,-50.855762408412396,-28.777128677922633,1.0379322207061052
-12.652015,19.919737148353896,-5.974028488908556,-75.80800370588246,-49.914238068619994,-27.944133278764276,1.0322610616430152
-12.45586,19.768567216162708,-5.723745245571826,-76.21681755875206,-50.72450509701761,-28.22412517129472,1.0336936017355975
-12.259705,19.54857310683235,-5.542286179374243,-77.30625677666801,-52.2153974904614,-28.87884183491782,1.0385278511643075
-12.06355,19.495901776521347,-5.193504334157287,-78.66908348576928,-53.97967737509067,-29.586590854623974,1.0458125179349758
-11.867395,18.871615485180563,-5.416337449970096,-80.9836371334922,-56.69568419834133,-31.056010824155713,1.0552106661576357
